Sr No.,Date,Time,Blockchain,Function,Latency,Transaction Fee
93,11/7/2023,20:52:57 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,0.9682533040000125,0,
94,11/7/2023,20:53:04 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,2.5728855819990857,0,
95,11/7/2023,20:53:14 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,5.994768135000021,0,
96,11/7/2023,20:53:37 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,19.007442463000306,0,
97,11/7/2023,20:53:43 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,2.375332746000029,0,
98,11/7/2023,20:53:52 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,4.51279427499976,0,
99,11/7/2023,20:53:58 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,2.6106837409995496,0,
100,11/7/2023,20:54:06 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,3.4557227339996026,0,
101,11/7/2023,20:58:38 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,4.347527813999914,0,
102,11/7/2023,20:58:44 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,1.9351995910005644,0,
103,11/7/2023,20:58:46 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,8.26486093599908,0,
104,11/7/2023,21:04:59 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,9.100450259000063,0,
105,11/7/2023,21:05:15 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,5.582363282999955,0,
106,11/7/2023,21:05:30 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,30.186805422999896,0,
107,11/7/2023,21:10:44 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,createUser,19.971060033000075,0.00762992,
108,11/7/2023,21:11:39 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,issueMoney,37.36273731600028,0.00222592,
109,11/7/2023,21:12:56 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,transferMoney,64.12657333100029,0.002674,
110,11/7/2023,21:13:00 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,default,3.8014552030004563,0,
111,11/7/2023,21:24:38 GMT+0500 (Pakistan Standard Time),Linea-Goerli,createUser,32.148510281000284,0.00762992,
112,11/7/2023,21:24:58 GMT+0500 (Pakistan Standard Time),Celo,createUser,49.04590001599863,0.00762992,
113,11/7/2023,21:25:38 GMT+0500 (Pakistan Standard Time),Linea-Goerli,issueMoney,45.599305658001455,0.00222592,
114,11/7/2023,21:25:55 GMT+0500 (Pakistan Standard Time),Celo,issueMoney,43.21489309000037,0.00222592,
115,11/7/2023,21:25:59 GMT+0500 (Pakistan Standard Time),Linea-Goerli,transferMoney,14.326866236999631,0.002674,
116,11/7/2023,21:26:04 GMT+0500 (Pakistan Standard Time),Linea-Goerli,default,4.64014662299864,0,
117,11/7/2023,21:26:32 GMT+0500 (Pakistan Standard Time),Celo,transferMoney,17.84090558899939,0.002674,
118,11/7/2023,21:26:33 GMT+0500 (Pakistan Standard Time),Celo,default,0.9102755539994687,0,
119,11/7/2023,21:27:32 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,createUser,198.988312704999,0.00762992,
120,11/7/2023,21:27:59 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,issueMoney,20.166119080999866,0.00222592,
121,11/7/2023,21:29:06 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,transferMoney,39.67115462500043,0.002674,
122,11/7/2023,21:29:07 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,default,1.2073390319999306,0,
123,11/7/2023,21:47:52 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,createUser,20.594825202999637,0.00762992,
124,11/7/2023,21:47:58 GMT+0500 (Pakistan Standard Time),Sepolia,createUser,26.97225711700134,0.00762992,
125,11/7/2023,21:48:04 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,createUser,31.265139829000457,0.00762992,
126,11/7/2023,21:48:50 GMT+0500 (Pakistan Standard Time),Linea-Goerli,createUser,77.69825948300026,0.00762992,
127,11/7/2023,21:48:52 GMT+0500 (Pakistan Standard Time),Celo,createUser,83.49929232000001,0.00762992,
128,11/7/2023,21:49:02 GMT+0500 (Pakistan Standard Time),Optimism-Goerli,issueMoney,44.86775397899933,0.00222592,
129,11/7/2023,21:49:19 GMT+0500 (Pakistan Standard Time),Sepolia,issueMoney,74.18699882300012,0.00222592,
130,11/7/2023,21:49:23 GMT+0500 (Pakistan Standard Time),Polygon-Mumbai,issueMoney,69.41849340499938,0.00222592,
